programme_title,programme_url,year_or_group,module_name,module_code,nqf_level,credits,pdf_url,pdf_local_path
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,Software Development Specialisation,User Experience Design 371,User Experience Design 371,User Experience Design 371,User Experience Design 371,https://www.belgiumcampus.ac.za/wp-content/uploads/2021/02/User-Experience-Design-371-UXD371.pdf,kb_output\pdfs\User-Experience-Design-371-UXD371.pdf
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,,cookielawinfo-checkbox-analytics,cookielawinfo-checkbox-analytics,cookielawinfo-checkbox-analytics,cookielawinfo-checkbox-analytics,,
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,,cookielawinfo-checkbox-functional,cookielawinfo-checkbox-functional,cookielawinfo-checkbox-functional,cookielawinfo-checkbox-functional,,
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,,cookielawinfo-checkbox-necessary,cookielawinfo-checkbox-necessary,cookielawinfo-checkbox-necessary,cookielawinfo-checkbox-necessary,,
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,,cookielawinfo-checkbox-others,cookielawinfo-checkbox-others,cookielawinfo-checkbox-others,cookielawinfo-checkbox-others,,
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,,cookielawinfo-checkbox-performance,cookielawinfo-checkbox-performance,cookielawinfo-checkbox-performance,cookielawinfo-checkbox-performance,,
Bachelor of Information Technology,https://www.belgiumcampus.ac.za/bachelor-of-information-technology/,,viewed_cookie_policy,viewed_cookie_policy,viewed_cookie_policy,viewed_cookie_policy,,
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Academic Writing 181,ACW181,5,4,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Academic-Writing-181-ACW181.pdf,kb_output\pdfs\Academic-Writing-181-ACW181.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Computer Architecture 181,COA181,5,4,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Computer-Architecture-181-COA181.pdf,kb_output\pdfs\Computer-Architecture-181-COA181.pdf
Bachelor of Computing,https://www.belgiumcampus.ac.za/bachelor-of-computing/,Software Engineering Specialisation,Database Development 181,DBD181,5,12,https://www.belgiumcampus.ac.za/wp-content/uploads/2023/11/Database-Development-181-DBD181.pdf,kb_output\pdfs\Database-Development-181-DBD181.pdf
